2025-03-13 09:33:08.782 +05:30 [WRN] Overriding address(es) 'http://*:7001'. Binding to endpoints defined via IConfiguration and/or UseKestrel() instead.
2025-03-13 09:33:17.689 +05:30 [WRN] Failed to determine the https port for redirect.
2025-03-13 10:35:45.789 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 24.3773 ms
2025-03-13 10:35:48.336 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 7.7496 ms
2025-03-13 10:35:50.016 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 15.3578 ms
2025-03-13 10:35:51.355 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 5.2146 ms
2025-03-13 10:36:04.019 +05:30 [INF] HTTP DELETE /api/Employee/deleteEmp8 responded 404 in 0.0113 ms
2025-03-13 10:36:18.856 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 66.7469 ms
2025-03-13 10:36:20.974 +05:30 [INF] HTTP DELETE /api/Employee/deleteEmp/2 responded 200 in 397.2530 ms
2025-03-13 10:36:26.099 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 8.7650 ms
2025-03-13 10:36:27.956 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 3.8947 ms
2025-03-13 10:37:30.245 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 115.9140 ms
2025-03-13 10:37:31.923 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 38.3329 ms
2025-03-13 10:37:38.831 +05:30 [INF] HTTP DELETE /api/Employee/deleteEmp/8 responded 200 in 26.7718 ms
2025-03-13 10:37:42.583 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 441.5564 ms
2025-03-13 10:37:44.150 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 5.2947 ms
2025-03-13 10:38:09.695 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 173.4078 ms
2025-03-13 10:38:12.260 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 10.2362 ms
2025-03-13 10:38:15.561 +05:30 [INF] HTTP DELETE /api/Employee/deleteEmp/8 responded 200 in 41.5306 ms
2025-03-13 10:38:19.910 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 10.5858 ms
2025-03-13 10:38:20.843 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 17.7804 ms
2025-03-13 10:38:37.506 +05:30 [INF] HTTP DELETE /api/Employee/deleteEmp/9 responded 200 in 20.1716 ms
2025-03-13 10:38:43.340 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 372.5633 ms
2025-03-13 10:38:44.667 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 22.5195 ms
2025-03-13 10:39:25.973 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 40.6648 ms
2025-03-13 10:39:27.742 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 26.9609 ms
2025-03-13 10:40:22.003 +05:30 [WRN] Overriding address(es) 'http://*:7001'. Binding to endpoints defined via IConfiguration and/or UseKestrel() instead.
2025-03-13 10:40:38.296 +05:30 [WRN] Failed to determine the https port for redirect.
2025-03-13 10:40:40.559 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 2252.2363 ms
2025-03-13 10:40:40.559 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 397.5499 ms
2025-03-13 10:40:42.088 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 121.4952 ms
2025-03-13 10:40:45.969 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 13.9312 ms
2025-03-13 10:40:47.263 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 31.9937 ms
2025-03-13 10:40:48.526 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 22.8920 ms
2025-03-13 10:40:50.219 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 46.0200 ms
2025-03-13 10:40:51.704 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 73.3386 ms
2025-03-13 10:40:53.114 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 15.8647 ms
2025-03-13 10:40:53.965 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 10.5683 ms
